SKU,Price,Wholesale price
68614518737856,155,131
68614519992920,155,131
68614521395836,155,131
68614578101143,142,120
68623732261908,89,75
68623732874657,89,75
68632737996610,12,10
68684659943813,244,206
68684661362845,244,206
68715044850516,180,149
68715050617728,180,160
68715054964943,180,160
68715057941320,260,200
68715061181964,177,149
68715064598238,236,200
68909548946522,365,308
68909550683662,365,308
68909551462091,365,308
68909552414142,365,308
68909559068383,227,192
68909559715719,227,192
68909560406255,227,192
68909561844392,227,192
68909848609452,419,353
68909849212284,419,353
68909850007989,419,353
68909850529899,419,353
68997884909785,200,160
69094159015793,51,228
69259593687149,159,135
69259598489363,159,135
69259621866502,103,86.64
69259662659594,65,55
69259665117307,65,55
69259676834892,337,286
69259697425837,120,101
69272350276565,171,145
69272350700570,171,145
69272351106222,171,145
69272352222522,171,145
69272352943198,171,145
69290852521030,11,9
69290854656470,11,9
69584814085357,61,51
69584869997113,61,51
69603624231141,88,75
69639360746817,12,10
69639362471081,12,10
69639364479169,12,10
69639366737881,12,10
69639368561162,12,10
69644787652091,75,63
69644788512044,75,63
69644789545607,75,63
69644790163759,75,63
69644791766356,75,63
69644792782500,75,63
69644793131433,75,63
69661031555144,95,80
69661032255459,95,80
69661034438210,95,80
69725645414188,365,308
6972895046316,13,10
69728950463160,13,10
6972895046323,12,10
69728950463230,12,10
6972895046330,11,8
69728950463300,11,8
6972895046347,8,8
69728950463470,8,8
6972895046354,19,15
69728950463540,19,15
6972895046361,25,20
69728950463610,25,20
6972895046378,17,13
69728950463780,17,13
6972895046385,15,12
69728950463850,15,12
6972895046705,11,15
69728950467050,11,15
6977262361023,7,6
69772623610230,7,6
69772623610231,7,6
69772623610232,8,6
6977262361078,18,14
6977262361108,7,6
69772623611080,7,6
6977262361146,22,18
69772623611460,22,18
69772623611461,22,18
69772623611462,22,18
69772623612210,13,10
69772623612380,19,15
69772623612382,17,13
6977262361436,21,17
69772623614360,21,17
6977262362044,109,131
6977262362501,170,204
6977262363195,202,170
6982024042638,146,124
69828709038269,352,297
69828751000869,122,103
69937827490172,16,14
69937852455709,77,65
69947788805591,50,42
69955581101670,1344,1135
69956245161096,171,145
69957313850340,340,287
69957317239799,458,386
70000079547234,53,45
70000080779213,53,45
70008400520044,14,12
70008420982267,132,112
70008422681093,140,118
70016668489263,197,166
70024318906139,77,65
70024322446714,109,92
70051177616811,132,112
70051179907320,139,117
70085219420878,53,45
70111047847010,8,7
70111148517753,162,137
70111148904954,162,137
70117675552996,26,22
70198157516085,216,182
70198191590848,581,491
70198205321236,264,223
70198224106826,200,169
70198230301677,57.6,48.5
70198401100446,210,177
70204007441819,200,169
70204008136743,200,169
70204008881813,200,169
70204010597857,200,169
70204011598042,200,169
70204015942717,210,177
70204016545976,210,177
70207217222459,88,74
70207221224019,250,211
70207221641695,250,211
70207222289421,250,211
70268847577413,190,150
70268851561923,250,211
70268860198753,209,177
70268892596870,14,11
70268938764308,157,132
70273575776803,216,182
70273576386436,216,182
70273577712395,216,182
70275793133918,61,51
70310621999416,102,86
70310622759361,102,86
70310626839000,102,86
70310627261107,102,86
70310628628694,102,86
70310641460654,102,86
70385388544305,63,54
70432176596150,19,16
70432194565440,41,34
70432209089371,142,120
70432214209914,227,192
70452431630362,57.6,48.5
70452454429165,264,223
70452477550373,188,158
70452478386080,62,158
70492613345350,142,120
70541977002156,263,222
70560246154359,335,283
70561988401762,123,104
70601573035684,142,120
70603791819750,142,120
70603792559765,142,120
70603792994170,142,120
70604141405347,8,7
70691599515018,12,10
70744011096774,75,63
70744016170901,10,7
70839902630696,250,211
70839968447784,36,30
70840111658508,119,101
70914938437633,132,112
70915219873178,182,154
70916313358727,182,154
70916315205262,182,154
70916316884718,182,154
70916325997187,182,154
70923982925800,1344,1135
70924848915832,95,80
71018793560148,26,22
71053419295018,51,44
71114497050941,243,206
71139882174952,52,44
71209318318294,1344,1135
71209332026899,1344,1135
71209344689274,1472,1277
71210216695951,16,14
71261391523893,284,240
71286824499982,162,137
71286836707503,162,137
71286895976290,182,154
71286896713895,182,154
71286994448025,182,154
71286995635273,182,154
71287103499399,250,211
71287104392207,250,211
71329247884627,308,260
71340109940988,70,59
71353155576583,9,6
71353165377177,166,141
71355750036003,166,141
71355750666015,166,141
71355751274676,166,141
71389317484316,119,100
71391501781578,317,268
71452572836715,81,69
71467361835803,320,320
71517709753110,105,89
71517735104453,108,92
71517741641494,101,86
71517746228938,15,12
71517786733459,149,126
71519614469419,113,95
71519619481389,119,101
71528146810560,1283,1083
71544693796573,142,120
71590673594006,432,365
71590677702469,182,154
71590681219498,95,80
71590844730143,207,174
71590852646630,61,52
71625369001062,135,114
71625376520178,629,531
71683478789795,205,169
71685737727775,133,112
71685768794767,119,101
71693199343688,88,75
71693210074109,101,86
71693215784764,25,23
71711301750362,383.5,339.25
71822521211138,101,86
71822531454682,101,86
71822536603322,101,86
71822538974538,101,86
71822540884162,101,86
71822566957249,146,124
71822570517421,146,124
71822571738428,146,124
71822572719885,146,124
71822573780962,146,124
71822575009103,146,124
71822593763507,155,132
71822601677515,429,363
71822608229249,209,177
71822614194412,209,177
71841665101577,12,8
71968450038440,291,246
71968515163455,338,285
71968529157521,399,337
71968538749648,473,399
71995179181474,216,183
71995183223866,216,183
71996554548504,210,177
72003681989013,53,45
72021242041195,10,7
72021242850927,10,7
72021244757587,10,7
72022063267521,432,365
72108346124569,284,240
72123512189828,53,45
72141396923812,119,101
72141399181305,119,101
72141405090918,119,101
72201925679470,232,197
72201935304410,232,197
72201938562510,232,197
72202795206058,95,80
72202795990878,95,80
72202797819147,95,80
72204289688108,200,200
72210551304060,9,7
72210596613475,412,348
72210663271958,102,86
72210668298896,102,86
72210671701560,102,86
72211854470335,232,197
72228707286735,33.75,28
72263327200916,119,101
72263355727761,119,101
72263357668781,119,101
72263552938754,142,120
72263557130069,142,120
72289572837042,268,226
72289640137077,11,10
72298488203784,205,169
72298489743293,205,169
72305498080923,9,7
72359563843545,223,189
72365980661806,142,120
72365984680508,142,120
72365987567901,142,120
72365992783585,142,120
72365995124444,142,120
72365998526945,142,120
72366005059488,142,120
72366006865535,142,120
72366008685083,142,120
72366014807235,142,120
72366016990554,142,120
72366019220786,142,120
72366021424529,142,120
72366179722047,133,112
72368155667130,440,320
72374459672071,440,380
72374478657411,440,380
72376198472139,205,169
72376272724906,207,174
72385654478112,2204,1933
72385665397005,910,784
72435920918822,943,796
72435934524585,943,796
72478659959692,716,605
72478680099147,716,605
72478699982948,108,92
72487488290065,1981.2,1762.8
72487508547613,1365,1197
72487519701307,1638,1437
72504841722629,1472,1243
72539338516537,206,174
72591346859892,1131,992
72600124942112,11,10
72669420477927,4134,3626
72669434998201,538,454
72669456147533,1547,1357
72683508108163,473,399
